City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
149,Lepe,37.2548,-7.2043,76.1,48,40,8.86,ES,1680009594
150,São Filipe,14.8961,-24.4956,76.17,66,0,8.77,CV,1680009594
151,Namatanai,-3.6667,152.4333,78.85,84,86,5.32,PG,1680009595
152,Bredasdorp,-34.5322,20.0403,71.51,50,96,17.22,ZA,1680009595
153,Arlit,18.7369,7.3853,92.08,7,0,5.35,NE,1680009596
154,Henties Bay,-22.116,14.2845,68.09,76,18,10.18,NA,1680009597
155,Chakwal,32.9334,72.8585,73.9,34,13,4.07,PK,1680009599
156,Yasothon,15.75,104.1333,91.04,40,89,8.81,TH,1680009328
157,Grădiştea,44.2333,27.2167,48.11,57,100,7.0,RO,1680009599
158,Chui,-33.6971,-53.4616,71.74,59,100,11.18,UY,1680009601
159,Sisimiut,66.9395,-53.6735,9.0,69,0,6.02,GL,1680009601
160,Chapais,49.7834,-74.8492,13.78,87,33,5.03,CA,1680009602
161,Salinópolis,-0.6136,-47.3561,79.83,84,100,7.09,BR,1680009603
162,Weligama,5.9667,80.4167,80.76,79,67,2.01,LK,1680009605
163,Rutul,41.5357,47.4239,57.2,38,0,5.88,RU,1680009606
164,Bergen,60.392,5.328,38.88,89,75,23.02,NO,1680009606
165,Hamilton,39.1834,-84.5333,43.61,88,0,5.75,US,1680009500
166,Padang,-0.9492,100.3543,75.25,85,100,0.87,ID,1680009607
167,Port Alfred,-33.5906,26.891,76.17,64,100,3.0,ZA,1680009607
168,Thunder Bay,48.4001,-89.3168,12.4,91,33,6.22,CA,1680009356
169,Newport,51.5877,-2.9984,50.07,90,100,22.17,GB,1680008830
170,Waterloo,43.4668,-80.5164,35.47,91,20,6.91,CA,1680009398
171,Severo-Kuril'sk,50.6789,156.125,31.12,89,86,15.05,RU,1680009611
172,Lüderitz,-26.6481,15.1594,71.82,66,4,10.25,NA,1680009611
173,East London,-33.0153,27.9116,77.94,65,0,11.5,ZA,1680009611
174,Coyhaique,-45.5752,-72.0662,40.95,87,100,4.61,CL,1680009612
175,Port Blair,11.6667,92.75,82.44,74,40,4.61,IN,1680009612
176,Río Gallegos,-51.6226,-69.2181,35.65,80,0,8.05,AR,1680009404
177,Yarmouth,41.7057,-70.2286,41.97,92,100,10.0,US,1680009617
178,Ambilobe,-13.2,49.05,81.91,85,100,4.36,MG,1680009618
179,Tevriz,57.509,72.4042,46.15,86,99,9.17,RU,1680009618
180,Talas,38.6908,35.5538,50.67,62,75,11.5,TR,1680009619
181,Ishigaki,24.3448,124.1572,69.93,78,100,18.41,JP,1680009620
182,Ilebo,-4.3167,20.5833,94.66,36,77,1.54,CD,1680009620
183,General Roca,-39.0333,-67.5833,68.63,39,99,12.57,AR,1680009620
184,Fort Nelson,58.8053,-122.7002,16.92,97,90,2.73,CA,1680009355
185,Provideniya,64.3833,-173.3,21.24,95,100,10.31,RU,1680009622
186,Linqing,36.8456,115.7117,61.36,32,100,10.13,CN,1680009624
187,The Valley,18.217,-63.0578,81.1,70,4,12.82,AI,1680009513
188,Slonim,53.0867,25.3219,37.53,46,100,15.05,BY,1680009628
189,San Patricio,28.017,-97.5169,73.35,87,100,19.01,US,1680009334
190,Haines Junction,60.7522,-137.5108,13.95,73,100,1.14,CA,1680009632
191,Petropavlovsk-Kamchatskiy,53.0452,158.6483,30.79,59,0,11.18,RU,1680009632
192,Klaksvík,62.2266,-6.589,40.12,76,100,27.45,FO,1680009634
193,Arrondissement de Saint-Denis,48.9167,2.3333,53.24,52,0,16.11,FR,1680009634
194,Samarai,-10.6167,150.6667,83.1,75,70,12.37,PG,1680009635
195,Yerbogachën,61.2767,108.0108,19.0,93,100,13.0,RU,1680009635
196,Kachīry,53.0675,76.1036,54.73,56,16,6.17,KZ,1680009637
197,Itaituba,-4.2761,-55.9836,82.56,78,40,0.0,BR,1680009638
198,Ta Khmau,11.4833,104.95,89.65,58,40,9.22,KH,1680009638
199,Minot,48.2325,-101.2963,1.62,92,0,13.8,US,1680009626
